DATE,HORIZON,ASSET_TYPE,ASSET,EXPECTED_RETURN
2017-12-31,1M,Equity Common Stock,MAS.N,0.3433371
2017-12-31,1M,Equity Common Stock,MAT.OQ,-0.1305181
2017-12-31,1M,Equity Common Stock,MKC.N,0.2413212
2017-12-31,1M,Equity Common Stock,MCD.N,0.4315717
2017-12-31,1M,Equity Common Stock,SPGI.N,0.3183004
2017-12-31,1M,Equity Common Stock,MCK.N,-0.0537805
2017-12-31,1M,Equity Common Stock,MDT.N,0.0874364
2017-12-31,1M,Equity Common Stock,BK.N,0.1655395
2017-12-31,1M,Equity Common Stock,MSFT.OQ,0.2785936
2017-12-31,1M,Equity Common Stock,MCHP.OQ,0.3424441
2017-12-31,1M,Equity Common Stock,MU.OQ,0.0986657
2017-12-31,1M,Equity Common Stock,MAA.N,0.1831291
2017-12-31,1M,Equity Common Stock,MMM.N,0.2661214
2017-12-31,1M,Equity Common Stock,MHK.N,0.3172589
2017-12-31,1M,Equity Common Stock,MS.N,0.1481058
2017-12-31,1M,Equity Common Stock,MSI.N,0.1754367
2017-12-31,1M,Equity Common Stock,MYL.OQ,-0.0314085
2017-12-31,1M,Equity Common Stock,NTAP.OQ,0.1246228
2017-12-31,1M,Equity Common Stock,NFX.N,0.0889001
2017-12-31,1M,Equity Common Stock,NEM.N,0.2044911
2017-12-31,1M,Equity Common Stock,NKE.N,0.1644183
2017-12-31,1M,Equity Common Stock,NBL.N,-0.1102507
2017-12-31,1M,Equity Common Stock,JWN.N,-0.0815757
2017-12-31,1M,Equity Common Stock,NSC.N,0.1378544
2017-12-31,1M,Equity Common Stock,ES.N,0.1222546
2017-12-31,1M,Equity Common Stock,XEL.OQ,0.2071574
2017-12-31,1M,Equity Common Stock,NTRS.OQ,0.2049441
2017-12-31,1M,Equity Common Stock,NOC.N,0.4844513
2017-12-31,1M,Equity Common Stock,WFC.N,0.0776115
2017-12-31,1M,Equity Common Stock,NUE.N,0.1272108
2017-12-31,1M,Equity Common Stock,OXY.N,-0.0184362
2017-12-31,1M,Equity Common Stock,OMC.N,-0.0070630
2017-12-31,1M,Equity Common Stock,OKE.N,0.0653695
2017-12-31,1M,Equity Common Stock,ORCL.N,0.0523057
2017-12-31,1M,Equity Common Stock,ORLY.OQ,0.1402627
2017-12-31,1M,Equity Common Stock,EXC.N,0.0577853
2017-12-31,1M,Equity Common Stock,PCG.N,-0.0509678
2017-12-31,1M,Equity Common Stock,PNC.N,0.2645131
2017-12-31,1M,Equity Common Stock,PPL.N,-0.0284566
2017-12-31,1M,Equity Common Stock,PPG.N,0.0334063
2017-12-31,1M,Equity Common Stock,PCAR.OQ,0.0751114
2017-12-31,1M,Equity Common Stock,PH.N,0.2548589
2017-12-31,1M,Equity Common Stock,PAYX.OQ,0.2507890
2017-12-31,1M,Equity Common Stock,PNR.N,0.0584352
2017-12-31,1M,Equity Common Stock,PBCT.OQ,0.1335001
2017-12-31,1M,Equity Common Stock,PEP.OQ,0.2162232
2017-12-31,1M,Equity Common Stock,PRGO.N,-0.2056753
2017-12-31,1M,Equity Common Stock,PFE.N,0.1114752
2017-12-31,1M,Equity Common Stock,MO.N,0.2198642
2017-12-31,1M,Equity Common Stock,COP.N,-0.0287809
2017-12-31,1M,Equity Common Stock,PVH.N,0.0635429
2017-12-31,1M,Equity Common Stock,PNW.N,0.1534718
2017-12-31,1M,Equity Common Stock,PXD.N,0.0906108
2017-12-31,1M,Equity Common Stock,PX.N,0.1260794
2017-12-31,1M,Equity Common Stock,TROW.OQ,0.1360009
2017-12-31,1M,Equity Common Stock,PG.N,0.0241870
2017-12-31,1M,Equity Common Stock,PGR.N,0.4949057
2017-12-31,1M,Equity Common Stock,PEG.N,0.1603487
2017-12-31,1M,Equity Common Stock,PSA.N,0.0910195
2017-12-31,1M,Equity Common Stock,PHM.N,0.2165268
2017-12-31,1M,Equity Common Stock,QCOM.OQ,0.0040033
2017-12-31,1M,Equity Common Stock,PWR.N,0.1585791
2017-12-31,1M,Equity Common Stock,RJF.N,0.1944657
2017-12-31,1M,Equity Common Stock,O.N,0.1098260
2017-12-31,1M,Equity Common Stock,REGN.OQ,0.0217431
2017-12-31,1M,Equity Common Stock,REG.N,0.0680071
2017-12-31,1M,Equity Common Stock,RMD.N,0.2096790
2017-12-31,1M,Equity Common Stock,RHI.N,0.0184833
2017-12-31,1M,Equity Common Stock,ROK.N,0.3279827
2017-12-31,1M,Equity Common Stock,ROL.N,0.4865304
2017-12-31,1M,Equity Common Stock,ROP.N,0.2987918
2017-12-31,1M,Equity Common Stock,ROST.OQ,0.2648222
2017-12-31,1M,Equity Common Stock,T.N,0.1037197
2017-12-31,1M,Equity Common Stock,TRV.N,0.1646412
2017-12-31,1M,Equity Common Stock,SCG.N,-0.1616506
2017-12-31,1M,Equity Common Stock,HSIC.OQ,0.0388367
2017-12-31,1M,Equity Common Stock,SLB.N,-0.0788085
2017-12-31,1M,Equity Common Stock,SCHW.N,0.2098060
2017-12-31,1M,Equity Common Stock,SEE.N,0.1016862
2017-12-31,1M,Equity Common Stock,SRE.N,-0.0030595
2017-12-31,1M,Equity Common Stock,SHW.N,0.2243845
2017-12-31,1M,Equity Common Stock,SIVB.OQ,0.2553516
2017-12-31,1M,Equity Common Stock,SPG.N,-0.0030042
2017-12-31,1M,Equity Common Stock,AOS.N,0.4111687
2017-12-31,1M,Equity Common Stock,SNA.N,0.1625442
2017-12-31,1M,Equity Common Stock,SO.N,0.0073079
2017-12-31,1M,Equity Common Stock,LUV.N,0.1872536
2017-12-31,1M,Equity Common Stock,SWK.N,0.3543219
2017-12-31,1M,Equity Common Stock,USB.N,0.1349683
2017-12-31,1M,Equity Common Stock,SBUX.OQ,0.2227594
2017-12-31,1M,Equity Common Stock,STT.N,0.1200124
2017-12-31,1M,Equity Common Stock,SYK.N,0.3856404
2017-12-31,1M,Equity Common Stock,STI.N,0.2153418
2017-12-31,1M,Equity Common Stock,SYMC.OQ,0.1447774
2017-12-31,1M,Equity Common Stock,SNPS.OQ,0.3962375
2017-12-31,1M,Equity Common Stock,SYY.N,0.2939227
2017-12-31,1M,Equity Common Stock,TJX.N,0.0972225
2017-12-31,1M,Equity Common Stock,TXN.OQ,0.3830681
2017-12-31,1M,Equity Common Stock,TXT.N,0.1688935
2017-12-31,1M,Equity Common Stock,TMO.N,0.2603407
2017-12-31,1M,Equity Common Stock,TIF.N,0.0302574
2017-12-31,1M,Equity Common Stock,TMK.N,0.3585285
2017-12-31,1M,Equity Common Stock,DVA.N,0.0107790
2017-12-31,1M,Equity Common Stock,TSS.N,0.3885455
2017-12-31,1M,Equity Common Stock,TSCO.OQ,0.0170023
2017-12-31,1M,Equity Common Stock,C.N,0.1598371
2017-12-31,1M,Equity Common Stock,YUM.N,0.2554742
2017-12-31,1M,Equity Common Stock,TSN.N,0.3058521
2017-12-31,1M,Equity Common Stock,MRO.N,-0.0163922
2017-12-31,1M,Equity Common Stock,WM.N,0.3844412
2017-12-31,1M,Equity Common Stock,UNP.N,0.0830206
2017-12-31,1M,Equity Common Stock,UDR.N,0.1593039
2017-12-31,1M,Equity Common Stock,UNH.N,0.5397832
2017-12-31,1M,Equity Common Stock,UTX.N,0.0836746
2017-12-31,1M,Equity Common Stock,UHS.N,0.0396126
2017-12-31,1M,Equity Common Stock,VFC.N,0.0161869
2017-12-31,1M,Equity Common Stock,VLO.N,0.2762201
2017-12-31,1M,Equity Common Stock,VTR.N,0.0059179
2017-12-31,1M,Equity Common Stock,FL.N,0.0098767
2017-12-31,1M,Equity Common Stock,VRSN.OQ,0.3154944
2017-12-31,1M,Equity Common Stock,VRTX.OQ,0.1141401
2017-12-31,1M,Equity Common Stock,VNO.N,-0.0212883
2017-12-31,1M,Equity Common Stock,VMC.N,0.3524070
2017-12-31,1M,Equity Common Stock,WMT.N,0.1014200
2017-12-31,1M,Equity Common Stock,WBA.OQ,0.0057522
2017-12-31,1M,Equity Common Stock,WAT.N,0.2913421
2017-12-31,1M,Equity Common Stock,AGN.N,-0.1141874
2017-12-31,1M,Equity Common Stock,WDC.OQ,-0.0392328
2017-12-31,1M,Equity Common Stock,EVRG.N,0.1606831
2017-12-31,1M,Equity Common Stock,WY.N,0.0209838
2017-12-31,1M,Equity Common Stock,WHR.N,-0.0088809
2017-12-31,1M,Equity Common Stock,WMB.N,-0.0374063
2017-12-31,1M,Equity Common Stock,WEC.N,0.1560215
2017-12-31,1M,Equity Common Stock,XLNX.OQ,0.2239911
2017-12-31,1M,Equity Common Stock,XRX.N,-0.0506652
