DATE,HORIZON,ASSET_TYPE,ASSET,EXPECTED_COST
2017-12-31,1M,Equity Common Stock,BAX.N,2.00%
2017-12-31,1M,Equity Common Stock,BDX.N,2.00%
2017-12-31,1M,Equity Common Stock,VZ.N,2.00%
2017-12-31,1M,Equity Common Stock,BRKb.N,2.00%
2017-12-31,1M,Equity Common Stock,BBY.N,2.00%
2017-12-31,1M,Equity Common Stock,HRB.N,2.00%
2017-12-31,1M,Equity Common Stock,BA.N,2.00%
2017-12-31,1M,Equity Common Stock,BWA.N,2.00%
2017-12-31,1M,Equity Common Stock,BSX.N,2.00%
2017-12-31,1M,Equity Common Stock,BMY.N,2.00%
2017-12-31,1M,Equity Common Stock,BFb.N,2.00%
2017-12-31,1M,Equity Common Stock,CI.N,2.00%
2017-12-31,1M,Equity Common Stock,CMS.N,2.00%
2017-12-31,1M,Equity Common Stock,CSX.OQ,2.00%
2017-12-31,1M,Equity Common Stock,CVS.N,2.00%
2017-12-31,1M,Equity Common Stock,COG.N,2.00%
2017-12-31,1M,Equity Common Stock,CDNS.OQ,2.00%
2017-12-31,1M,Equity Common Stock,CPB.N,2.00%
2017-12-31,1M,Equity Common Stock,STZ.N,2.00%
2017-12-31,1M,Equity Common Stock,COF.N,2.00%
2017-12-31,1M,Equity Common Stock,CAH.N,2.00%
2017-12-31,1M,Equity Common Stock,CCL.N,2.00%
2017-12-31,1M,Equity Common Stock,CAT.N,2.00%
2017-12-31,1M,Equity Common Stock,CELG.OQ,2.00%
2017-12-31,1M,Equity Common Stock,CERN.OQ,2.00%
2017-12-31,1M,Equity Common Stock,JPM.N,2.00%
2017-12-31,1M,Equity Common Stock,CVX.N,2.00%
2017-12-31,1M,Equity Common Stock,CHD.N,2.00%
2017-12-31,1M,Equity Common Stock,CINF.OQ,2.00%
2017-12-31,1M,Equity Common Stock,CSCO.OQ,2.00%
2017-12-31,1M,Equity Common Stock,CTAS.OQ,2.00%
2017-12-31,1M,Equity Common Stock,CTXS.OQ,2.00%
2017-12-31,1M,Equity Common Stock,CLX.N,2.00%
2017-12-31,1M,Equity Common Stock,KO.N,2.00%
