DATE,HORIZON,ASSET_TYPE,ASSET,EXPECTED_RISK
2017-12-31,1M,Equity Common Stock,MAS.N,6.10%
2017-12-31,1M,Equity Common Stock,MAT.OQ,10.67%
2017-12-31,1M,Equity Common Stock,MKC.N,3.97%
2017-12-31,1M,Equity Common Stock,MCD.N,4.13%
2017-12-31,1M,Equity Common Stock,SPGI.N,6.27%
2017-12-31,1M,Equity Common Stock,MCK.N,8.26%
2017-12-31,1M,Equity Common Stock,MDT.N,4.89%
2017-12-31,1M,Equity Common Stock,BK.N,5.76%
2017-12-31,1M,Equity Common Stock,MSFT.OQ,6.96%
2017-12-31,1M,Equity Common Stock,MCHP.OQ,5.95%
2017-12-31,1M,Equity Common Stock,MU.OQ,12.39%
2017-12-31,1M,Equity Common Stock,MAA.N,5.26%
2017-12-31,1M,Equity Common Stock,MMM.N,4.07%
2017-12-31,1M,Equity Common Stock,MHK.N,5.54%
2017-12-31,1M,Equity Common Stock,MS.N,7.57%
2017-12-31,1M,Equity Common Stock,MSI.N,5.59%
2017-12-31,1M,Equity Common Stock,MYL.OQ,9.90%
2017-12-31,1M,Equity Common Stock,NTAP.OQ,10.71%
2017-12-31,1M,Equity Common Stock,NFX.N,9.36%
2017-12-31,1M,Equity Common Stock,NEM.N,13.58%
2017-12-31,1M,Equity Common Stock,NKE.N,5.28%
2017-12-31,1M,Equity Common Stock,NBL.N,8.79%
2017-12-31,1M,Equity Common Stock,JWN.N,9.52%
2017-12-31,1M,Equity Common Stock,NSC.N,7.76%
2017-12-31,1M,Equity Common Stock,ES.N,4.63%
2017-12-31,1M,Equity Common Stock,XEL.OQ,4.38%
2017-12-31,1M,Equity Common Stock,NTRS.OQ,6.32%
2017-12-31,1M,Equity Common Stock,NOC.N,4.44%
2017-12-31,1M,Equity Common Stock,WFC.N,5.59%
2017-12-31,1M,Equity Common Stock,NUE.N,7.96%
2017-12-31,1M,Equity Common Stock,OXY.N,5.53%
2017-12-31,1M,Equity Common Stock,OMC.N,5.28%
2017-12-31,1M,Equity Common Stock,OKE.N,9.52%
2017-12-31,1M,Equity Common Stock,ORCL.N,4.61%
